column,dtype,role,n_unique_sample,pct_missing_sample,complexity,suggested_encoding
Unnamed: 0,int64,identifier,500000,0.0,structural,exclude — use as group key only
ucid,object,identifier,21871,0.0,structural,exclude — use as group key only
date_filed,object,datetime,5213,0.0,structural,derive time features (no one-hot)
Activity,object,categorical,26,0.0,medium,one-hot (watch sparsity) or target encoding
event_judge,object,categorical,1243,0.0,very high,parse judge id → target encoding or embedding (8–32 dim)
attribute_duplicates,int64,numeric_count,35,0.0,low–medium,numeric — scale or log1p if skewed
attribute_memo_opinion,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_scheduling,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_rescheduling,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_hearing_conf,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_admin_closing,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_bilateral_unopposed,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_case_opened_in_error,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_default_judgment,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_dismiss_with_prejudice,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_dismiss_without_prejudice,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_dismissal_other,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_dispositive,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_granting_motion_for_summary_judgment,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_granting_motion_to_dismiss,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_for_arbitration,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_for_default_judgment,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_for_dismissal_other,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_for_habeas_corpus,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_for_judgment_as_a_matter_of_law,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_for_judgment_on_the_pleadings,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_for_judgment_other,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_for_settlement,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_for_summary_judgment,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_for_time_extension,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_for_voluntary_dismissal,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_other,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_to_certify_class,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_to_dismiss,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_to_remand,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_motion_to_seal,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_notice_of_appeal,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_notice_of_consent,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_notice_of_dismissal_other,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_notice_of_motion,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_notice_of_settlement,bool,boolean_flag,1,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_notice_of_voluntary_dismissal,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_notice_other,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_opening,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_petition_for_habeas_corpus,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_petition_other,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_plea_guilty,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_plea_not_guilty,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_proposed,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_remand,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_settlement_consent_decree,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_settlement_rule_68,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_stipulation_for_judgment,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
